date,sales
2017-01-01,174.3916
2017-01-02,187.07584
2017-01-03,204.43646
2017-01-04,196.48576
2017-01-05,168.18573
2017-01-06,171.6535
2017-01-07,171.76552
2017-01-08,173.96469
2017-01-09,180.58156
2017-01-10,194.35577
2017-01-11,217.00252
2017-01-12,168.88199
2017-01-13,169.55716
2017-01-14,178.16136
2017-01-15,180.72798
2017-01-16,203.6254
2017-01-17,198.63742
2017-01-18,190.27124
2017-01-19,150.45395
2017-01-20,157.31866
2017-01-21,153.34578
2017-01-22,161.25339
2017-01-23,176.66031
2017-01-24,181.43271
2017-01-25,203.00293
2017-01-26,164.2692
2017-01-27,149.1308
2017-01-28,176.13141
2017-01-29,175.94507
2017-01-30,194.46922
2017-01-31,216.85751
2017-02-01,244.56027
2017-02-02,177.31464
2017-02-03,177.51405
2017-02-04,187.88951
2017-02-05,191.24759
2017-02-06,212.48254
2017-02-07,235.762
2017-02-08,241.94376
2017-02-09,182.96423
2017-02-10,186.10222
2017-02-11,195.82704
2017-02-12,185.37988
2017-02-13,188.93802
2017-02-14,206.21265
2017-02-15,241.08588
2017-02-16,172.52785
2017-02-17,179.01172
2017-02-18,172.13176
2017-02-19,181.703
2017-02-20,214.30922
2017-02-21,234.80875
2017-02-22,237.38887
2017-02-23,178.55804
2017-02-24,180.01671
2017-02-25,205.91718
2017-02-26,216.10007
2017-02-27,252.88611
2017-02-28,254.07346
2017-03-01,268.93677
2017-03-02,195.68716
2017-03-03,182.85425
2017-03-04,198.78493
2017-03-05,214.47255
2017-03-06,239.74226
2017-03-07,260.81442
2017-03-08,268.7264
2017-03-09,204.91827
2017-03-10,212.92471
2017-03-11,231.95624
2017-03-12,232.59944
2017-03-13,246.7555
2017-03-14,264.0832
2017-03-15,266.33154
2017-03-16,192.31975
2017-03-17,197.8896
2017-03-18,236.50627
2017-03-19,227.46988
2017-03-20,228.08868
2017-03-21,232.61566
2017-03-22,248.5904
2017-03-23,197.47055
2017-03-24,210.17552
2017-03-25,205.85345
2017-03-26,217.42809
2017-03-27,238.50479
2017-03-28,269.47205
2017-03-29,269.87793
2017-03-30,221.8251
2017-03-31,224.90358
2017-04-01,249.93185
2017-04-02,267.32043
2017-04-03,269.77383
2017-04-04,269.93185
2017-04-05,269.91763
2017-04-06,251.42297
2017-04-07,260.82315
2017-04-08,262.76212
2017-04-09,267.3411
2017-04-10,269.53067
2017-04-11,269.94058
2017-04-12,269.94574
2017-04-13,217.79257
2017-04-14,232.20407
2017-04-15,259.10675
2017-04-16,269.11438
2017-04-17,269.73682
2017-04-18,269.9348
2017-04-19,269.93668
2017-04-20,240.00424
2017-04-21,245.62448
2017-04-22,261.76617
2017-04-23,268.14496
2017-04-24,269.60416
2017-04-25,269.84933
2017-04-26,269.90118
2017-04-27,258.7099
2017-04-28,263.97153
2017-04-29,269.56354
2017-04-30,269.7633
2017-05-01,269.90442
2017-05-02,269.92676
2017-05-03,269.9564
2017-05-04,264.7295
2017-05-05,267.3932
2017-05-06,261.1308
2017-05-07,263.67645
2017-05-08,269.81308
2017-05-09,269.93362
2017-05-10,269.9533
2017-05-11,256.2892
2017-05-12,267.4451
2017-05-13,265.89093
