date,sales
2013-01-01,133
2013-01-02,99
2013-01-03,127
2013-01-04,145
2013-01-05,149
2013-01-06,149
2013-01-07,92
2013-01-08,119
2013-01-09,114
2013-01-10,103
2013-01-11,139
2013-01-12,126
2013-01-13,170
2013-01-14,92
2013-01-15,121
2013-01-16,116
2013-01-17,122
2013-01-18,122
2013-01-19,139
2013-01-20,153
2013-01-21,94
2013-01-22,96
2013-01-23,126
2013-01-24,102
2013-01-25,126
2013-01-26,124
2013-01-27,131
2013-01-28,111
2013-01-29,129
2013-01-30,108
2013-01-31,117
2013-02-01,148
2013-02-02,168
2013-02-03,173
2013-02-04,126
2013-02-05,121
2013-02-06,113
2013-02-07,140
2013-02-08,130
2013-02-09,154
2013-02-10,151
2013-02-11,111
2013-02-12,127
2013-02-13,133
2013-02-14,123
2013-02-15,120
2013-02-16,154
2013-02-17,179
2013-02-18,107
2013-02-19,104
2013-02-20,129
2013-02-21,136
2013-02-22,142
2013-02-23,158
2013-02-24,185
2013-02-25,111
2013-02-26,132
2013-02-27,129
2013-02-28,159
2013-03-01,164
2013-03-02,203
2013-03-03,198
2013-03-04,156
2013-03-05,150
2013-03-06,170
2013-03-07,169
2013-03-08,166
2013-03-09,176
2013-03-10,195
2013-03-11,133
2013-03-12,171
2013-03-13,159
2013-03-14,162
2013-03-15,160
2013-03-16,161
2013-03-17,188
2013-03-18,130
2013-03-19,153
2013-03-20,157
2013-03-21,173
2013-03-22,178
2013-03-23,178
2013-03-24,191
2013-03-25,134
2013-03-26,148
2013-03-27,136
2013-03-28,166
2013-03-29,181
2013-03-30,181
2013-03-31,203
2013-04-01,134
2013-04-02,187
2013-04-03,210
2013-04-04,229
2013-04-05,199
2013-04-06,219
2013-04-07,244
2013-04-08,167
2013-04-09,149
2013-04-10,183
2013-04-11,202
2013-04-12,209
2013-04-13,210
2013-04-14,259
2013-04-15,139
2013-04-16,155
2013-04-17,174
2013-04-18,209
2013-04-19,196
2013-04-20,221
2013-04-21,238
2013-04-22,144
2013-04-23,164
2013-04-24,173
2013-04-25,204
2013-04-26,203
2013-04-27,208
2013-04-28,230
2013-04-29,137
2013-04-30,187
2013-05-01,183
2013-05-02,214
2013-05-03,190
2013-05-04,247
2013-05-05,226
2013-05-06,176
2013-05-07,195
2013-05-08,179
2013-05-09,209
2013-05-10,232
2013-05-11,208
2013-05-12,224
2013-05-13,157
2013-05-14,196
2013-05-15,187
2013-05-16,190
2013-05-17,220
2013-05-18,223
2013-05-19,255
2013-05-20,166
2013-05-21,167
2013-05-22,198
2013-05-23,201
2013-05-24,213
2013-05-25,250
2013-05-26,259
2013-05-27,155
2013-05-28,194
2013-05-29,193
2013-05-30,177
2013-05-31,214
2013-06-01,263
2013-06-02,274
2013-06-03,176
2013-06-04,208
2013-06-05,218
2013-06-06,186
2013-06-07,234
2013-06-08,251
2013-06-09,256
2013-06-10,172
2013-06-11,227
2013-06-12,217
2013-06-13,224
2013-06-14,220
2013-06-15,244
2013-06-16,256
2013-06-17,190
2013-06-18,199
2013-06-19,203
2013-06-20,225
2013-06-21,245
2013-06-22,240
2013-06-23,263
2013-06-24,188
2013-06-25,200
2013-06-26,195
2013-06-27,226
2013-06-28,213
2013-06-29,260
2013-06-30,266
2013-07-01,206
2013-07-02,202
2013-07-03,198
2013-07-04,215
2013-07-05,261
2013-07-06,253
2013-07-07,258
2013-07-08,202
2013-07-09,230
2013-07-10,209
2013-07-11,217
2013-07-12,264
2013-07-13,265
2013-07-14,295
2013-07-15,197
2013-07-16,201
2013-07-17,211
2013-07-18,243
2013-07-19,260
2013-07-20,262
2013-07-21,275
2013-07-22,183
2013-07-23,195
2013-07-24,205
2013-07-25,246
2013-07-26,247
2013-07-27,258
2013-07-28,264
2013-07-29,177
2013-07-30,200
2013-07-31,208
2013-08-01,203
2013-08-02,214
2013-08-03,246
2013-08-04,239
2013-08-05,188
2013-08-06,183
2013-08-07,219
2013-08-08,190
2013-08-09,206
2013-08-10,231
2013-08-11,250
2013-08-12,153
2013-08-13,170
2013-08-14,212
2013-08-15,222
2013-08-16,208
2013-08-17,233
2013-08-18,232
2013-08-19,165
2013-08-20,185
2013-08-21,202
2013-08-22,218
2013-08-23,237
2013-08-24,210
2013-08-25,279
2013-08-26,175
2013-08-27,176
2013-08-28,195
2013-08-29,217
2013-08-30,235
2013-08-31,199
2013-09-01,227
2013-09-02,134
2013-09-03,187
2013-09-04,169
2013-09-05,199
2013-09-06,210
2013-09-07,196
2013-09-08,229
2013-09-09,158
2013-09-10,191
2013-09-11,187
2013-09-12,196
2013-09-13,203
2013-09-14,222
2013-09-15,229
2013-09-16,136
2013-09-17,165
2013-09-18,151
2013-09-19,203
2013-09-20,164
2013-09-21,219
2013-09-22,235
2013-09-23,176
2013-09-24,176
